product_id,is_pb,cate_d1,cate_d3,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
2238774,0,패브릭,패드/스프레드,3592,138,2875,2654,207160600,3421,2940,458,2654,190,0.036997319034852545,0.8652148322542672,0.07159005275056518,0.5609177087498134,0.0,0.2649865951742627
410257,0,패브릭,패드/스프레드,3301,91,2416,2286,77853700,3199,3184,11,2286,112,0.026827830188679246,0.9965571205007825,0.048993875765529306,0.29565074536832037,0.980743706854179,0.4670204402515723
336834,0,패브릭,패드/스프레드,2974,105,2242,2142,96676100,2854,2789,53,2142,82,0.034101981162715164,0.9813511611541168,0.03828197945845005,0.169898844623424,0.8671995533677368,0.322507307567392
2323750,0,패브릭,패드/스프레드,2163,67,2132,2068,113589500,2094,1989,98,2068,63,0.030044843049327353,0.953042644944897,0.0304642166344294,0.07812251422301884,0.6558175263509474,0.4031091180866966
449750,0,패브릭,패드/스프레드,2309,50,1985,1898,79784000,2254,2246,8,1898,76,0.0211954217888936,0.9964507542147294,0.040042149631190724,0.19056229566059754,0.979949461017132,0.5789176204606472
1895149,0,패브릭,패드/스프레드,2555,59,1777,1712,83944000,2492,2472,17,1712,59,0.0225707727620505,0.9931699477701889,0.0344626168224299,0.12506158170143727,0.9554514085098494,0.5515939811272634
119376,0,패브릭,패드/스프레드,2139,83,1771,1597,88429400,2050,2045,5,1597,143,0.03735373537353735,0.9975609756097561,0.08954289292423294,0.7716743956042275,0.988239575807455,0.2579057905790578
2399624,0,패브릭,패드/스프레드,2041,67,1696,1546,118367000,1954,1732,218,1546,133,0.03178368121442125,0.8882051282051282,0.08602846054333764,0.7304168498562423,0.1716704374009584,0.36856419987349776
186794,0,패브릭,패드/스프레드,2042,64,1629,1508,60163400,1978,1958,20,1508,107,0.030389363722697058,0.9898887765419616,0.0709549071618037,0.5534614411808577,0.9309506321326704,0.39626464070908507
1275616,0,패브릭,패드/스프레드,1953,61,1551,1430,95506800,1887,1883,2,1430,105,0.03028798411122145,0.9989389920424403,0.07342657342657342,0.5824774736266178,0.9985293382468005,0.3982787156570672
745800,0,패브릭,패드/스프레드,1870,54,1516,1411,114406600,1814,1808,4,1411,93,0.028066528066528068,0.9977924944812362,0.06591070163004961,0.49424518150265384,0.9899683463295271,0.4424116424116423
345755,0,생활용품,수건/타월,77813,1136,61514,56822,2712933400,76599,76132,354,56822,3900,0.014389035959923495,0.9953717020108255,0.06863538770194642,0.5673628292135386,0.9869458494381106,0.9053731251413758
735077,0,생활용품,수건/타월,19952,507,16799,15716,1142863400,19435,18027,1374,15716,965,0.024781269856786744,0.9291789083036956,0.061402392466276406,0.45266009860327616,0.7771312784348723,0.4536556543832586
603875,0,생활용품,수건/타월,16076,286,13289,11816,512301700,15779,14756,1005,11816,1132,0.017479525730350814,0.9362350104688789,0.0958023019634394,0.9981828624800849,0.7994973543447864,0.7710393296979693
3185445,0,생활용품,수건/타월,16485,467,12788,12056,671588500,15990,15529,427,12056,650,0.027548371873525247,0.9732389069942341,0.05391506303915063,0.3339240698506811,0.9167904347557335,0.3333784996602417
3469345,0,생활용품,수건/타월,12892,230,11322,10600,443055300,12648,12480,149,10600,631,0.017527815881725348,0.9882017578588962,0.05952830188679245,0.4229402799287563,0.9642189229540848,0.7689403098666301
3345606,0,생활용품,수건/타월,10809,312,9058,8508,633435400,10493,8320,2153,8508,487,0.028055031022390074,0.7944237563257901,0.057240244475787495,0.38665566694559783,0.3499912104719305,0.31135563224472285
2209275,0,생활용품,수건/타월,8431,170,7384,7045,453801000,8254,8227,9,7045,317,0.01976514358795489,0.9989072365225837,0.04499645138396025,0.19249039309974014,0.9981526079885024,0.6716907653755159
3345605,0,생활용품,수건/타월,7469,184,5958,5566,246351900,7276,5840,1426,5566,327,0.024042859009538745,0.8037434627030002,0.0587495508444125,0.41059064217618924,0.37953234457275425,0.4857520336227503
2250458,0,생활용품,수건/타월,6438,166,5471,5090,380175900,6254,5894,353,5090,330,0.025136281041792854,0.9434928765807588,0.06483300589390963,0.5070636637925889,0.8225029714124187,0.4382244433295691
1745253,0,생활용품,수건/타월,5418,83,4622,4139,168683600,5331,5099,230,4139,397,0.015088165788038538,0.9568399324451117,0.09591688813723122,1.0,0.864809794308063,0.8749841673078721
2596366,0,생활용품,수건/타월,4801,120,4178,3973,275106100,4671,3195,1476,3973,182,0.02438528754318228,0.6840077071290944,0.04580921218223005,0.2053793664582145,0.0,0.4708677505448303
3819460,0,생활용품,수건/타월,4965,77,4166,3961,326976900,4871,4847,8,3961,192,0.015271717572391909,0.9983522142121524,0.048472607927291085,0.24761619293193685,0.9963933263289969,0.8670057529838575
1682915,0,생활용품,수건/타월,4393,57,3739,3431,139382400,4326,4318,4,3431,262,0.012808988764044944,0.999074502545118,0.07636257650830662,0.6899026107496267,0.9986827993703123,0.9740527690066033
345758,0,생활용품,수건/타월,4090,96,3477,3190,139060800,3981,3951,24,3190,200,0.022933588150979456,0.9939622641509434,0.06269592476489028,0.4731732721847926,0.982478284566392,0.5339685221647692
2167104,0,생활용품,수건/타월,4115,83,3466,3225,141006000,4029,4020,7,3225,183,0.01977131967603621,0.9982617333002235,0.05674418604651163,0.37878904260447055,0.9961065245087817,0.6714223104008722
346437,0,생활용품,수건/타월,3890,84,3096,2900,122502600,3805,3726,79,2900,173,0.021137393054856568,0.9792378449408673,0.0596551724137931,0.42495222593546345,0.9358055649724284,0.6120434302029405
3029621,0,생활용품,수건/타월,3774,51,3067,2890,161402600,3719,3690,26,2890,160,0.013333333333333334,0.9930032292787944,0.05536332179930796,0.356890936136041,0.9794383843142983,0.9512611724167501
3345603,0,생활용품,수건/타월,3179,99,2613,2495,117099900,3075,2678,391,2495,100,0.030201342281879196,0.8725969371130662,0.04008016032064128,0.11452656330810064,0.5977806067529069,0.21806228422945795
