product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
1072709,0,가구,전신거울,60900.0,276,26,275,265,25119000,249,204,22,265,10,0.08609271523178808,0.9026548672566371,0.03773584905660377,0.7940987555198715,0.8221607115916617,0.448431889131494
3579077,0,가구,전신거울,169000.0,237,21,237,231,42793000,217,165,24,231,4,0.08139534883720931,0.873015873015873,0.017316017316017316,0.30644131282429155,0.7656735691361608,0.49302167163044164
2151919,0,가구,전신거울,99000.0,228,19,227,219,27712000,0,0,0,219,8,0.07692307692307693,,0.0365296803652968,0.7652935652061271,,0.5354747432404108
2916622,0,가구,전신거울,109900.0,224,16,224,223,25057200,206,146,42,223,1,0.06666666666666667,0.776595744680851,0.004484304932735426,0.0,0.5819123564379509,0.6328337874659401
2961040,0,가구,전신거울,99000.0,221,11,221,217,28888000,0,0,0,217,4,0.04741379310344827,,0.018433179723502304,0.33312089420531427,,0.8155918209151555
81997,0,가구,전신거울,65900.0,195,19,194,192,12736400,176,82,92,192,1,0.08878504672897196,0.47126436781609193,0.005208333333333333,0.017290927895981082,0.0,0.4228749140543432
1357157,0,가구,전신거울,135000.0,198,26,181,175,27890000,174,150,8,175,6,0.11607142857142858,0.9493670886075949,0.03428571428571429,0.7117041540020264,0.9111866711242352,0.16385874854028804
1313031,0,가구,전신거울,70400.0,170,12,169,159,14221900,151,147,1,159,6,0.06593406593406594,0.9932432432432432,0.03773584905660377,0.7940987555198715,0.9948075449356254,0.6397880049106207
3602010,0,가구,전신거울,159000.0,168,18,168,164,28232000,0,0,0,164,3,0.0967741935483871,,0.018292682926829267,0.32976561148590205,,0.34703788344906394
2033119,0,가구,전신거울,99000.0,160,12,160,156,16499700,148,113,30,156,4,0.06976744186046512,0.7902097902097902,0.02564102564102564,0.5052555010001818,0.6078585313635221,0.6033996578163614
762323,0,가구,전신거울,61600.0,163,9,159,153,11874500,144,141,3,153,5,0.05232558139534884,0.9791666666666666,0.032679738562091505,0.6733509479441895,0.9679798604363571,0.768966637095241
